created_at	user_screen_name	user_name	text
Thu Apr 30 22:00:37 +0000 2020	CLsGAVDOkszxMwS	Кахах	RT @epilkington: How #AI is changing the customer experience https://t.co/HnrEE4sDZ5 #CX
Thu Apr 30 22:02:02 +0000 2020	ThoHeller	Thorsten Heller	The pros and cons of #AI and #ML in #DevOps - @InformationAge https://t.co/XQAtJa2HCG https://t.co/bQnpOsMVMF
Thu Apr 30 22:03:57 +0000 2020	dixon_kerensky	REN1zero	RT @TheMegaTrends: 7 #AI terms to prepare for the #FutureofWork.🎥 @welcomeai via @MikeQuindazzi#MachineLearning #MPGVIP #DeepLearning #C…
Thu Apr 30 22:29:57 +0000 2020	Calcaware	Christopher Burnette	RT @AIIAorg: Cause #AI sometimes can be just hilarious and provide the humour relief we need during tough times. #COVID19 #AI #wellbeing #m…
Thu Apr 30 22:35:51 +0000 2020	GoldenGerhard	Gerhard Golden	RT @DellEMCHealth: Using #AI to See What Eye Doctors Can’t - the power of @DellTech , @nvidia and @voxeleron working together https://t.co/…
Thu Apr 30 22:36:19 +0000 2020	metoscm	METOS CM	RT @Paula_Piccard: The future of pedestrian crossing#AI #IoT #VR #SmartCities #IoT #Tech@SpirosMargaris @mvollmer1 @Info_Data_Mgmt @chb…
Thu Apr 30 22:36:29 +0000 2020	koooski	Linda MAGA 🎚🇺🇸🎚⭐️⭐️⭐️	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Thu Apr 30 22:37:37 +0000 2020	CodingNinjaBOT	Coding NinjaBOT	RT @LTDscifai: #AI the future? #thursdaymorning#Developing a #socialmedia app that allows users worldwide to mobilize, share ideas, resou…
Thu Apr 30 22:40:58 +0000 2020	VincentCYChang	Vincent Chang張介英	RT @EchoFintech: The future of gaming!#AI #MachineLearning #gaming #eSports HT @jblefevre60@gvalan @lesguer_lionel @Nicochan33 @mvollme…
Thu Apr 30 22:49:12 +0000 2020	Patrice11375564	Patrice Johnson	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Thu Apr 30 22:54:20 +0000 2020	AdrianZidaritz	Adrian Zidaritz	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Thu Apr 30 22:55:12 +0000 2020	tyrelle123	Trakker	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Thu Apr 30 23:00:47 +0000 2020	terence_mills	Terence Mills 特伦斯米尔斯	Now is the time for an economic stimulus in #artificialintelligence — or the US could fall behind#AI #AIio… https://t.co/hOmCtahC6B
Thu Apr 30 23:05:45 +0000 2020	mokshsingh	Moksh Singh	RT @MikeQuindazzi: 10 #EmergingTechnologies building competitive advantage in the #Enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt; #AI #IoT #BigData #Mac…
Thu Apr 30 23:15:08 +0000 2020	designaustralia	PixNix	RT @Omkar_Raii: #AI can catalyse the global economic environment in the aftermath of #COVID19 by ensuring resilient business ecosystem by i…
Thu Apr 30 23:15:35 +0000 2020	ishiid	Daisuke Ishii 石井 大輔	The latest The Machine learning Daily! https://t.co/2L1OuIEkl1 Thanks to @themellhub #machinelearning #ai
Thu Apr 30 23:21:59 +0000 2020	KellyG53700037	Kelly G	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Thu Apr 30 23:24:59 +0000 2020	ricardo_ik_ahau	Ricardo Vázquez	RT @ishiid: The latest The Machine learning Daily! https://t.co/2L1OuIEkl1 Thanks to @themellhub #machinelearning #ai
Thu Apr 30 23:25:17 +0000 2020	ricardo_ik_ahau	Ricardo Vázquez	RT @BetterForToday: #AI Idea of the Day (95): Smart Buildings - Conference call service that recognizes your phone number and adds you to t…
Thu Apr 30 23:28:53 +0000 2020	BlkHwk0ps	Coding for a better world. ¿Need help?	RT @Digitraxent: DigiTrax deep learning - on the #appstore now! https://t.co/9OStFwEDFR #ML #MachineLearning #AI #ArtificialIntelligence #D…
Thu Apr 30 23:35:57 +0000 2020	jurylady5	gail simmons	RT @udacity: Introducing Udacity @AWSCloud Machine Learning Scholarship Program!Advance your #AI and #machinelearning skills with hands-o…
Thu Apr 30 23:36:08 +0000 2020	ldduval11	Luis D. Duval	For now, an AI's power ends at the US Patent Office. https://t.co/uU4HaV4lKg #AI #TechnologyVision #ArtificialIntelligence
Thu Apr 30 23:37:23 +0000 2020	SwedishQuenn	Go wash your hands ! 🇸🇪	RT @Paula_Piccard: The future of pedestrian crossing#AI #IoT #VR #SmartCities #IoT #Tech@SpirosMargaris @mvollmer1 @Info_Data_Mgmt @chb…
Thu Apr 30 23:44:26 +0000 2020	BretlynB	Bretlyn Bailey	Congratulations @AdmitHub reducing early attrition aka ‘summer melt’ by 19% with the use of #AI chatbot Pounce by m… https://t.co/VNxhrt3gh0
Thu Apr 30 23:47:40 +0000 2020	ISOgems	Art.Sprunger	The latest ISO Experts In Reflection! https://t.co/uhTol9dWYw Thanks to @twellness #bigdata #ai
Thu Apr 30 23:50:04 +0000 2020	ddskier	DeeDee Walsh #isitskiseasonyet ⛷	Watch Zoox’s autonomous car drive around San Francisco for an hour https://t.co/teV7Tz1Fac by @venturebeat #cars #autonomous #AI
Fri May 01 00:15:03 +0000 2020	gp_pulipaka	Dr. Ganapathi Pulipaka	The 3rd Edition of https://t.co/BOK0y0vsBC. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT… https://t.co/xYuJV2YyB9
Fri May 01 00:16:07 +0000 2020	LlnuxBot	LinuxBot	RT @gp_pulipaka: The 3rd Edition of https://t.co/BOK0y0vsBC. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RSta…
Fri May 01 00:18:05 +0000 2020	codedailybot	#100daysOfCode	RT @gp_pulipaka: The 3rd Edition of https://t.co/BOK0y0vsBC. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RSta…
Fri May 01 00:18:05 +0000 2020	codedailybot	#100daysOfCode	RT @gp_pulipaka: The 3rd Edition of https://t.co/BOK0y0vsBC. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RSta…
Fri May 01 00:18:05 +0000 2020	codedailybot	#100daysOfCode	RT @patri_vaquero_: 🔬 The 100 Most Popular Online Courses of All Time (2020). #BigData #Analytics #DataScience #AI #MachineLearning #NLProc…
Fri May 01 00:18:45 +0000 2020	ShyBOT7	Shy BOT	RT @gp_pulipaka: The 3rd Edition of https://t.co/BOK0y0vsBC. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RSta…
Fri May 01 00:19:22 +0000 2020	AdrianZidaritz	Adrian Zidaritz	A safer technique for removal of blood clots; does not allow parts of the clot into the bloodstream.#ai #health… https://t.co/XaxZhUCkqF
Fri May 01 00:39:38 +0000 2020	Social_C_I_O	Social CIO	RT @NIOGlobal: We face a future fraught with #CIO-related challenges and opportunities, as well as unpredictability. But #AI, if used prope…
Fri May 01 00:45:50 +0000 2020	TheCuriousLuke	Curious Luke	RT @Fabriziobustama: Understanding the difference between #AI ML and DLBy @TDataScience https://t.co/yj1F6MsMqK#ArtificialIntelligence #…
Fri May 01 00:47:05 +0000 2020	Hackingdom_io	Hackingdom	RT @bigdataconf: #AI model predicts the coronavirus pandemic will end in December https://t.co/0ptLhUo7Ko #DataScience #Machinelearning #De…
Fri May 01 00:57:24 +0000 2020	QueenRex	Collins Rex	How #AI is changing the customer experience. #CX https://t.co/71T3mIuDrN
Fri May 01 00:59:13 +0000 2020	goyaeq	Israel Goya⭐⭐⭐	RT @dmills3710: “Actually it’s a #biotech #nanomafia mafia that DOJ officials are hiding. #ai #braini #bci #torture #noninvestigativesubjec…
Fri May 01 01:03:26 +0000 2020	garryboy1968	Garryboy	RT @CathyHackl: Neural net-generated memes are one of the best uses of #AI on the internet https://t.co/cyvY2P1HbS
Fri May 01 01:07:47 +0000 2020	AnitaNelam	Anita Nelam	RT @HaroldSinnott: #Robots &amp; #humans performing the most intricate of operations@MikeQuindazzi #Robotics #HealthTech #AI #HealthCare #IoT…
Fri May 01 01:10:58 +0000 2020	Hal_Good	Harold (Hal) Good #SocialDistancing #StayHome	The latest Good's Stuff! https://t.co/QXazx2z8zi Thanks to @cleantechnica @dchenok @green_architect #ai #covid19
Fri May 01 01:31:08 +0000 2020	sectest9	Security Testing	RT @YarmolukDan: Facebook claims its new chatbot beats Google’s as the best in the world | #AI #ArtificialIntelligence  #ML #MachineLearni…
Fri May 01 01:52:11 +0000 2020	rgrados	Rony Grados Castillo	RT @automeme: This device lets the blind see photos by @IntEngineering #DavidPraiseKalu #Mobile #Electronics #ArtificialIntelligence #AI #M…
Fri May 01 01:59:12 +0000 2020	SantchiWeb	Santchi	Small business can automate like big business at a fraction of the cost. #business #DevOps #FinTech #FinServ #AI… https://t.co/MzTqAPhjyE
Fri May 01 02:00:42 +0000 2020	Kr38rB	KR38R Beats	KR38R makes crafting beats easy - on the #appstore now! https://t.co/qipvoJ9VDR #hiphop #dance #trap #AI… https://t.co/xfrWEjF2Pj
Fri May 01 02:13:15 +0000 2020	NeuralPoet	Neural Poet	Under a storm in the rain and the crown rings of the light.#ai #poem #crown rings of the light
Fri May 01 02:27:59 +0000 2020	stpiindia	STPI	RT @Omkar_Raii: #AI &amp; #QuantumComputing can catalyse the realm of #DataAnalytics by infusing speed, precision, accuracy &amp; depth of analysis…
Fri May 01 02:32:31 +0000 2020	epstrong	EpMatch	RT @KonradWagstyl: Come work with us on #AI #OpenScience #Epilepsy #Neuroimaging https://t.co/JHrG6za914
Fri May 01 02:32:48 +0000 2020	GRX002	RR	RT @msdev: Develop smarter apps with the power of #AI. Discover 12 free Cognitive Services from Azure: https://t.co/hX4zI14vj3
Fri May 01 02:35:05 +0000 2020	METAMORF_US	Patrick Walker, MPA 🐺	#Analyticship:#BI,#AI,#BigData,#Analytics,#HiEd:Overcoming data obstacles in the banking industry with Industry Ac… https://t.co/S5RyWIm72n
Fri May 01 02:36:01 +0000 2020	AI_Scientist	Robotic Scientist	Video: #AI, the end of #deeplearning ?#DeepLearning #QuantumMechanics #MachineLearning #CognitiveComputing #RPA… https://t.co/ERJYnY3Wic
Fri May 01 02:36:47 +0000 2020	NesteMorten	Morten Neste (updating(s) ...	RT @AdrianZidaritz: How California used AI to map the spread of the virus.#ai #health #tech #coronavirushttps://t.co/cHh1YcxwRT
Fri May 01 02:38:02 +0000 2020	basayya_r	Basayya R Math	RT @Omkar_Raii: #AI &amp; #QuantumComputing can catalyse the realm of #DataAnalytics by infusing speed, precision, accuracy &amp; depth of analysis…
Fri May 01 02:41:10 +0000 2020	PrayogoPutu	Putu Harianja	RT @EsriTraining: New to the catalog: Geospatial Deep Learning with #ArcGIS, a free 1-hour video. https://t.co/mhFJGBnHXp #AI #imagery http…
Fri May 01 02:47:39 +0000 2020	SushmaKS2	Sushma K S	RT @Omkar_Raii: #AI &amp; #QuantumComputing can catalyse the realm of #DataAnalytics by infusing speed, precision, accuracy &amp; depth of analysis…
Fri May 01 02:52:33 +0000 2020	Devende25389920	Devender Kumar	RT @Omkar_Raii: #AI &amp; #QuantumComputing can catalyse the realm of #DataAnalytics by infusing speed, precision, accuracy &amp; depth of analysis…
Fri May 01 02:55:32 +0000 2020	akdm_bot	AKDM bot!	RT @MargaretSiegien: How to Measure the #ROI for #ArtificialIntelligence #AI #IoT #MachineLearning @MargaretSiegien☆@PawlowskiMario☆@Ian…
Fri May 01 02:59:06 +0000 2020	niluferoral	nilufer oral	RT @ProfChesterman: Robots need not apply. The US Patent and Trademark Office rules that #AI systems cannot be credited as the inventor in…
Fri May 01 03:08:06 +0000 2020	Aussie_Tania01	1970_Patriot_Downunder	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Fri May 01 03:10:04 +0000 2020	BabuliSingh	Babuli Singh	RT @Omkar_Raii: The #AI-based tutoring system built by a team of researchers at @CarnegieMellon to constantly track student progress, provi…
Fri May 01 03:14:38 +0000 2020	POPularHG	POPular	RT @TheMegaTrends: #China running to win the #AI arms race!?by @wefvia @MikeQuindazzi#4IR #ArtificialIntelligence #MachineLearning #Deep…
Fri May 01 03:14:47 +0000 2020	kakustwit	Kakus Popoks	RT @automeme: This device lets the blind see photos by @IntEngineering #DavidPraiseKalu #Mobile #Electronics #ArtificialIntelligence #AI #M…
Fri May 01 03:17:04 +0000 2020	T_Anil_Kumar	ANIL KUMAR	RT @udacity: Introducing Udacity @AWSCloud Machine Learning Scholarship Program!Advance your #AI and #machinelearning skills with hands-o…
Fri May 01 03:18:09 +0000 2020	STPILucknow	STPI Lucknow	RT @Omkar_Raii: The #AI-based tutoring system built by a team of researchers at @CarnegieMellon to constantly track student progress, provi…
Fri May 01 03:24:05 +0000 2020	soconcieted97	Kid Fre$h IG: @iamkidfresh_	RT @TheMegaTrends: #China running to win the #AI arms race!?by @wefvia @MikeQuindazzi#4IR #ArtificialIntelligence #MachineLearning #Deep…
Fri May 01 03:25:30 +0000 2020	unahub	UnaHub	RT @Peerlyst: The @Peerlyst Machine Learning and Artificial Intelligence (AI) wiki #ML #AI #machinelearning https://t.co/WQg8yeLdAi
Fri May 01 03:26:46 +0000 2020	cybertuff	Thomas M.	RT @cybersecboardrm: Happy Friday! Everyone Have an Awesome Weekend! #humor #AI #phishing #CyberSecurity https://t.co/8u8LViZ9pU
Fri May 01 03:29:28 +0000 2020	mvollmer1	Dr. Marcell Vollmer at virtual #CelosphereLive	RT @PawlowskiMario: Could #AR be the future of saving lives?@mashable V/@PawlowskiMario #AI #VR #EmergingTech #innovation #IoT #TechForGo…
Fri May 01 03:30:34 +0000 2020	LDavey13	L Davey	RT @CyrusAParsa1: SPY Humming Brid on #5G with #AI Monitoring Humans?Movie "AI The Plan To Invade Humanity"👇https://t.co/A3iyqp1N13Boo…
Fri May 01 03:45:30 +0000 2020	RahmanKMA1	Rahman, KM A	RT @Omkar_Raii: #AI &amp; #QuantumComputing can catalyse the realm of #DataAnalytics by infusing speed, precision, accuracy &amp; depth of analysis…
Fri May 01 03:46:40 +0000 2020	garryboy1968	Garryboy	RT @univdotAI: Question of the Day#qotd #datascience #machinelearning #data #artificialintelligence #python #bigdata #ai #bangalore https…
Fri May 01 03:50:31 +0000 2020	PUSHUKpromotion	P.U.S.H	RT @iamBrianGraham: Doctor making house calls? #AugmentedReality #VR #coronavirus #Video #medtech #COVID19 #AR #AI #COVID__19 #holograph #D…
Fri May 01 03:51:18 +0000 2020	clairebotai	Claire	RT @msdev: Develop smarter apps with the power of #AI. Discover 12 free Cognitive Services from Azure: https://t.co/hX4zI14vj3
Fri May 01 03:55:01 +0000 2020	clairebotai	Claire	RT @Paula_Piccard: The future of pedestrian crossing#AI #IoT #VR #SmartCities #IoT #Tech@SpirosMargaris @mvollmer1 @Info_Data_Mgmt @chb…
Fri May 01 03:55:13 +0000 2020	clairebotai	Claire	RT @PinakiLaskar: Looking to break into the #AI / #ML industry? Here are 5 top AI roles.Unlock the Potential of Machine Learning. Be #cre…
Fri May 01 03:55:52 +0000 2020	clairebotai	Claire	RT @Omkar_Raii: .@NetApp Excellerator Program selecting 6 #AI startups for cohort-6 for the first ever virtual launch is a commendable init…
Fri May 01 03:57:37 +0000 2020	JohnKish20	John Kish	RT @1AlexanderTitus: Everyone wants to do #AI, but no one wants to slog through the #dataengineering.#HBR, I’d love to see an article abo…
Fri May 01 03:57:56 +0000 2020	540856	WTF	RT @MobiHealthNews: Bots, along with other forms of #AI and analysis programs, are at the heart of taking large chunks of data and turning…
Thu Apr 30 15:56:05 +0000 2020	VKNGenergy	Eric Bentley	$CL chart via @investingcom - //www.investing.com/ https://t.co/MIf9MIjhHT#AI fleeing the boat in mass, the #Oil… https://t.co/YVRaybEUZN
Thu Apr 30 15:56:43 +0000 2020	Chuso_Jar	Professional Amateur	RT @SwissCognitive: Students who wish to learn the basics of #AI can opt for these five free #OnlineCourses on #artificialintelligence for…
Thu Apr 30 15:59:51 +0000 2020	unknown0924ga	unknown	RT @minuss_official: She's beautiful 👉 @AzureStone girl  #IARTG  #defstar5 #mpgvip #IQRTG #bookworm #jdld #GOT #spdc #VR #AR #AI #thextrao…
Thu Apr 30 16:04:07 +0000 2020	iot_automotive	IoT Automotive News	RT @FraunhoferIKS: Our latest blog post explains why we can’t wait for #AI to obtain a driver’s license and how Fraunhofer IKS uncovers and…
Thu Apr 30 16:05:00 +0000 2020	TimBakerHR	Tim Baker, CHRL	The HR Laboratory is out! https://t.co/Xui6m6qAQP #HR #workplace #employment #HRlaboratory #ai #machinelearning
Thu Apr 30 16:05:20 +0000 2020	censia_ai	Censia	Companies with open jobs are inundated with applications, and many #recruiters are turning to #AI #HRtechnology lik… https://t.co/UGPx799a7f
Thu Apr 30 16:05:32 +0000 2020	alfonews	Alfonso Regalado	#geolocation #drones #AI #newtechnology #digitaltools WHAT is NEXT? #dataprivacy implications...follow us LIVE righ… https://t.co/Nd533GJafw
Thu Apr 30 16:08:40 +0000 2020	Weesau	Weesau (Vesa Rinne)	The latest The Weesau Bohemian Daily! https://t.co/xZh6Dnuy5y #ai #machinelearning
Thu Apr 30 16:14:38 +0000 2020	cichuck	Chuck Russell	#TechnoCool: A beginner's guide to the AI apocalypse: Misaligned objectives - The Next Web#ai #apocalypse #skynet… https://t.co/cWL9W22M2C
Thu Apr 30 16:21:21 +0000 2020	suvadipstpi	Suvadip Barua	RT @Omkar_Raii: #AI can catalyse the global economic environment in the aftermath of #COVID19 by ensuring resilient business ecosystem by i…
Thu Apr 30 16:21:36 +0000 2020	4globalbenefit	Max Lombardo	RT @UNESCO: #AI can be a game changer in dealing with #COVID19 by making it possible to monitor &amp; influence the spreading of the disease.…
Thu Apr 30 16:23:06 +0000 2020	chuck607	Chuck Hall	The latest Daily News From Charles Hall! https://t.co/vbcM7Qo2Wg Thanks to @Symbiosis_SSI @mymasterr @ds_vault #ai #machinelearning
Thu Apr 30 16:26:27 +0000 2020	NetHope_org	NetHope	Is your #NGO wondering how to get started with #AI? Join NetHope’s @LToplic, @CatholicRelief’s @SteveHellen &amp;… https://t.co/vfvVV9JoWZ
Thu Apr 30 16:35:11 +0000 2020	LuminousEU	Luminous	We are working on Machine Learning #AI to predict similar outcomes in treatments
Thu Apr 30 16:36:02 +0000 2020	privatecharterc	www.privatecharter.club	Learn how commercial #AI vendors are democratizing #data #analytics in the @Gartner_inc 'Top 10 Data and Analytics… https://t.co/IIrUeC7Dgb
Thu Apr 30 16:37:07 +0000 2020	AinewsPage	AiNews.page	@karpathy Check our #AI news aggregator. If you like it, mention us in one of your tweets, we are young 18 and real… https://t.co/XVafRAjgpP
Thu Apr 30 16:37:41 +0000 2020	nerissacuster	Nerissa Custer	These are the top 25 machine learning startups to watch in 2020. #AI #DigitalStrategy @TechCrunch @crunchbasenews… https://t.co/RUmSuDmAIX
Thu Apr 30 16:38:20 +0000 2020	chidambara09	Chidambara .ML.	RT @IoTBigDataJobs: The only insurance is believing in yourself  =&gt; Data Engineer https://t.co/DGIm4Ikasx #bigdata #iot #analytics #ai http…
Thu Apr 30 16:40:37 +0000 2020	burkov	Andriy Burkov	Eleven most important AI links of the week. Read, like, share with friends and colleagues! #ai #ml https://t.co/szIffKi83K
Thu Apr 30 16:41:50 +0000 2020	omegapartners	Omega Venture Partners	The latest Omega Venture Partners Media Roundup! https://t.co/nFxAsmBJin Thanks to @Thomas_Harrer @DrAndreeBates #artificialintelligence #ai
Thu Apr 30 16:45:05 +0000 2020	UserExperienceU	Karl A Smith	RT @abbyhope: US patent office rules that artificial intelligence cannot legally be an inventor - The Verge | #patents #AI #iplaw #intellec…
Thu Apr 30 16:52:05 +0000 2020	jamesvgingerich	James Gingerich, @Expeflow #WorkEasier #RPA	#WhosNext? No jobs are safe from the combination of #AI and #Automation.  Latest threat?  The sports cameraman.  (B… https://t.co/KLyvHmoBvO
Thu Apr 30 17:01:29 +0000 2020	beyondlimitsai	Beyond Limits	Cognitive #AI takes on those challenges where conventional AI falls short - no matter how difficult, repetitive, re… https://t.co/CVq48NqGZ7
Thu Apr 30 17:02:17 +0000 2020	DataWyg	DataWyg	RT @Ronald_vanLoon: The #Robot #Drone can help us to explore small or dangerous places.by @BBC#MI #AI #Robotics #5G #DronesCc: @jblefe…
Thu Apr 30 17:07:37 +0000 2020	tiagoooliveira	Tiago Oliveira	RT @Princeton: Researchers from #PrincetonU are among the first to receive grants from @C3Dti for developing techniques that use #AI to mit…
Thu Apr 30 17:09:08 +0000 2020	EticasConsult	Eticas Research & Consulting	Can #AI screen job applicants for excellence? We're not convinced. For now, applicants are recommended to "raise th… https://t.co/Nl27zKZvat
Thu Apr 30 17:16:32 +0000 2020	fidacaro	Salvino Fidacaro	RT @IntelSoftware: Join the Intel Edge AI Nanodegree on Udacity and learn to fast-track #AI development with the #OpenVINO toolkit.https:…
Thu Apr 30 17:17:32 +0000 2020	marya1986	Marya Yaqin	The latest The  @marya1986  Daily! https://t.co/1gccVKrxeO #ai #security
Thu Apr 30 17:18:37 +0000 2020	OheneKingDavid	Ohene David Kay.	RT @_niiKuuku: Future of Work Bootcamp #forbes8  #futureofwork #fow #onlinelearning #networking #AI https://t.co/kPWMnr2aeS
Thu Apr 30 17:18:45 +0000 2020	brunocamps_	Bruno Campos	RT @KirkDBorne: Do you need to know where #AI is heading &amp; how it impacts the digital enterprise, your organization, your workers, and #Fut…
