created_at	user_screen_name	user_name	text
Tue Mar 31 22:10:50 +0000 2020	Cryptopulse6	Bro.CryptoMax	RT @FrRonconi: These are the most amazing movable bridges🌉in the world!v/ @gigadgets_#Innovation #Transportation #Engineering@chboursin…
Tue Mar 31 22:20:24 +0000 2020	FrRonconi	Franco Ronconi 🇮🇹	RT @FrRonconi: This #digital #art exhibit changes based on the visitor's mood!#AR #AI #AugmentedReality #Innovation@alvinfoo @chboursin…
Tue Mar 31 22:38:49 +0000 2020	scoshield	Ochieng Scott	RT @AdamMossoff: On this date in #innovation history: Hugh Stoddart &amp; Voutselas Theodore receive a #patent in 1959 for their #invention of…
Tue Mar 31 22:54:24 +0000 2020	shangel03366668	s.h.angel	RT @patosins: The role of innovation in creating abundance #Innovation via https://t.co/51Q7uqVBnT https://t.co/xwgULW6vro
Tue Mar 31 23:04:57 +0000 2020	thesoilxperts	smartcloudfarming	RT @PARSEC_EU: 🤝Meet #100PARSEC - winners of our first #OpenCall🦸‍♂️🦸‍♀️&amp; help them further develop 100 great ideas for #innovation in food…
Tue Mar 31 23:21:49 +0000 2020	FisherIndy	Mark Fisher	RT @IndyPartnership: Thanks @inc for showing the world what the #IndyRegion is all about. https://t.co/YDMctTpdAC #innovation #indytech
Tue Mar 31 23:31:13 +0000 2020	CE_IT_Vision	Carlos F. Escobar	Q.E.N.O - The ZEN of #Innovation is out! https://t.co/QlXAfrwxjt #innovation #banking
Tue Mar 31 23:59:30 +0000 2020	crypto_archer	Archer Crypto	RT @SinovateChain: SINOVATE explanatory Video by CryptoTube🔥#blockchain #buidl #crypto #cryptocurrency #technology #innovation #altcoin…
Wed Apr 01 00:11:34 +0000 2020	jean_criss	Jean Criss	Learn how I spent my days in #isolation with #MRSA #breastcancer - channeled my energy into #innovation #author… https://t.co/ot2qkK6MYm
Wed Apr 01 00:32:24 +0000 2020	InnovationACT	InnovationACT	RT @innovationANU: Keep innovating through iso! The Weekly #Innovation Challenge from our friends at @CBR_IN, happening this afternoon - ch…
